Campaign_ID,Previous_Sales,During_Campaign_Sales,Foot_Traffic_Before_Campaign,Foot_Traffic_During_Campaign,Campaign_Duration_Days,Campaign_Success,Promotion_Type_Discount,Promotion_Type_Happy Hour,Promotion_Type_Loyalty Program,Day_of_Week_Monday,Day_of_Week_Saturday,Day_of_Week_Sunday,Day_of_Week_Thursday,Day_of_Week_Tuesday,Day_of_Week_Wednesday
18,0.9688542825361512,0.9821826280623607,0.07769423558897243,0.7413479052823315,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
19,0.7374860956618465,0.006681514476614692,0.02506265664160401,0.7522768670309654,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20,0.1446051167964405,0.0022271714922049157,0.7518796992481203,0.6211293260473587,0.14285714285714285,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21,0.7352614015572859,0.6926503340757237,0.5413533834586466,0.39890710382513656,0.7142857142857143,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,0.3426028921023359,0.8340757238307348,0.7218045112781954,0.2950819672131147,0.7142857142857143,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,0.8553948832035595,0.40311804008908686,0.25313283208020043,0.39890710382513656,0.7142857142857143,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,0.38153503893214685,0.8351893095768372,0.9799498746867168,0.4899817850637523,0.5714285714285714,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.5461624026696329,0.5645879732739421,0.6666666666666666,0.7267759562841529,0.4285714285714285,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
26,0.4593993325917687,0.3040089086859688,0.5338345864661653,0.3296903460837887,0.7142857142857143,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
27,0.8954393770856508,0.5623608017817372,0.44611528822055135,0.37158469945355194,0.4285714285714285,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.42825361512791993,0.896436525612472,0.21804511278195488,0.41347905282331504,0.14285714285714285,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,0.21245828698553948,0.8218262806236079,0.10025062656641603,0.453551912568306,0.8571428571428571,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
30,0.307007786429366,0.9821826280623607,0.18796992481203006,0.8014571948998177,0.7142857142857143,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
31,0.1779755283648498,0.015590200445434299,0.9423558897243107,0.9690346083788706,0.14285714285714285,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.5105672969966629,0.21269487750556793,0.11278195488721804,0.3551912568306011,0.7142857142857143,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
33,0.3481646273637375,0.7015590200445434,0.3984962406015038,0.9435336976320583,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
34,0.023359288097886538,0.5389755011135857,0.19799498746867167,0.1256830601092896,0.2857142857142857,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35,0.2803114571746385,0.030066815144766168,0.7744360902255638,0.7249544626593807,0.14285714285714285,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
36,0.8309232480533927,0.7939866369710467,0.21303258145363407,0.36794171220400723,0.7142857142857143,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
37,0.9521690767519466,0.04231625835189312,0.22807017543859648,0.2677595628415301,0.9999999999999999,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
38,0.6229143492769744,0.3028953229398664,0.368421052631579,0.8579234972677594,0.2857142857142857,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.5272525027808677,0.2561247216035635,0.40100250626566414,0.36065573770491804,0.14285714285714285,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,0.06451612903225806,0.09465478841870822,0.5037593984962405,0.774134790528233,0.9999999999999999,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
41,0.5672969966629589,0.5267260579064588,0.6040100250626566,0.8943533697632058,0.9999999999999999,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
42,0.7575083426028921,0.13919821826280626,0.8822055137844611,0.2568306010928962,0.5714285714285714,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
43,0.5283648498331479,0.9031180400890868,0.002506265664160401,0.5683060109289617,0.9999999999999999,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
44,0.7775305895439377,0.5968819599109132,0.5614035087719298,0.2987249544626594,0.7142857142857143,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.8698553948832035,0.16035634743875277,0.7218045112781954,0.570127504553734,0.5714285714285714,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
46,0.21023359288097887,0.5835189309576838,0.581453634085213,0.036429872495446214,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
47,0.7630700778642937,0.23496659242761692,0.19047619047619047,0.14754098360655737,0.7142857142857143,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
48,0.625139043381535,0.026726057906458794,0.28822055137844615,0.23679417122040075,0.8571428571428571,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.9733036707452725,0.6447661469933184,0.3834586466165413,0.5537340619307831,0.9999999999999999,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50,0.6295884315906563,0.43763919821826275,0.2556390977443609,0.6739526411657559,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.2703003337041157,0.07349665924276172,0.4837092731829573,0.697632058287796,0.2857142857142857,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
52,0.9243604004449388,0.2583518930957684,0.4135338345864661,0.8087431693989071,0.14285714285714285,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
53,0.560622914349277,0.12026726057906456,0.8972431077694234,0.7723132969034607,0.9999999999999999,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
54,0.1446051167964405,0.16146993318485525,0.22305764411027568,0.2914389799635701,0.4285714285714285,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
55,0.5383759733036707,0.12249443207126948,0.4335839598997493,0.3224043715846994,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.9098998887652947,0.25278396436525613,0.30325814536340845,0.8907103825136611,0.4285714285714285,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
57,0.7185761957730812,0.12249443207126948,0.3558897243107769,0.5938069216757742,0.9999999999999999,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
58,0.022246941045606233,0.522271714922049,0.26315789473684204,0.5245901639344261,0.4285714285714285,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
59,0.9343715239154615,0.03674832962138086,0.9373433583959898,0.6429872495446265,0.9999999999999999,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
60,0.1846496106785317,0.6926503340757237,0.7619047619047619,0.04918032786885246,0.14285714285714285,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
61,0.303670745272525,0.8630289532293987,0.899749373433584,0.07650273224043713,0.2857142857142857,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.43047830923248054,0.40979955456570155,0.7919799498746867,0.768670309653916,0.14285714285714285,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63,0.6674082313681868,0.83184855233853,0.3057644110275689,0.32058287795992707,0.7142857142857143,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
64,0.3503893214682981,0.6614699331848553,0.9749373433583959,0.9617486338797814,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
65,0.014460511679644045,0.6158129175946547,0.020050125313283207,0.8979963570127503,0.4285714285714285,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
66,0.26807563959955505,0.47216035634743875,0.6541353383458646,0.3588342440801457,0.14285714285714285,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
67,0.8631813125695217,0.6815144766146992,0.18045112781954886,0.9398907103825136,0.9999999999999999,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
68,0.38375973303670746,0.5757238307349666,0.8972431077694234,0.9344262295081966,0.14285714285714285,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.6273637374860956,0.7694877505567927,0.556390977443609,0.038251366120218566,0.14285714285714285,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
70,0.9977753058954393,0.31291759465478836,0.10025062656641603,0.20218579234972672,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.3770856507230256,0.3552338530066815,0.9248120300751879,0.10200364298724951,0.2857142857142857,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
72,0.10122358175750834,0.8207126948775054,0.5087719298245614,0.11839708561020035,0.8571428571428571,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
73,0.407119021134594,0.4922048997772828,0.6591478696741855,0.17668488160291435,0.14285714285714285,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
74,0.5050055617352615,0.3496659242761692,0.8195488721804511,0.2604735883424408,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
75,0.47497219132369295,0.9755011135857461,0.4436090225563909,0.7905282331511838,0.4285714285714285,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
76,0.5650723025583982,0.8240534521158129,0.8696741854636592,0.15482695810564662,0.9999999999999999,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
77,0.8620689655172413,0.4187082405345211,0.794486215538847,0.6247723132969034,0.7142857142857143,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.03781979977753058,0.3207126948775056,0.20802005012531327,0.5336976320582878,0.8571428571428571,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0.22803114571746386,0.48552338530066813,0.794486215538847,0.44080145719489977,0.5714285714285714,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
80,0.08898776418242493,0.7360801781737194,0.2756892230576441,0.0564663023679417,0.8571428571428571,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
81,0.6240266963292548,0.3073496659242762,0.6265664160401002,0.7103825136612021,0.9999999999999999,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
82,0.9688542825361512,0.7895322939866369,0.957393483709273,0.5027322404371584,0.8571428571428571,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
83,0.43047830923248054,0.6469933184855234,0.015037593984962405,0.9672131147540983,0.9999999999999999,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
84,0.0011123470522803186,0.5590200445434299,0.20802005012531327,0.27868852459016386,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
85,0.43270300333704115,0.6937639198218262,0.518796992481203,0.6958105646630237,0.5714285714285714,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
86,0.628476084538376,0.5734966592427617,0.9699248120300752,0.12204007285974494,0.14285714285714285,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
87,0.11679644048943272,0.38864142538975505,0.9749373433583959,0.38797814207650266,0.14285714285714285,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
88,0.8576195773081201,0.9376391982182628,0.7844611528822054,0.6830601092896174,0.8571428571428571,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
89,0.9132369299221357,0.4955456570155902,0.05263157894736842,0.3861566484517304,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
90,0.5294771968854283,0.9231625835189308,0.957393483709273,0.14207650273224043,0.5714285714285714,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.7808676307007787,0.38864142538975505,0.005012531328320802,0.692167577413479,0.14285714285714285,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
92,0.4460511679644049,0.6748329621380846,0.3157894736842105,0.1038251366120218,0.4285714285714285,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
93,0.8109010011123471,0.7383073496659243,0.7418546365914787,0.04553734061930781,0.2857142857142857,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
94,0.6173526140155728,0.9153674832962138,0.468671679197995,0.8123861566484516,0.2857142857142857,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
95,0.17908787541713017,0.15144766146993316,0.9047619047619047,0.11839708561020035,0.14285714285714285,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
96,0.22358175750834258,0.8440979955456569,0.03258145363408521,0.4608378870673952,0.5714285714285714,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
97,0.2992213570634038,1.0,0.02756892230576441,0.07832422586520943,0.7142857142857143,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
98,0.9588431590656286,0.26948775055679286,0.21553884711779447,0.17486338797814205,0.14285714285714285,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
99,0.9065628476084537,0.6035634743875278,0.02756892230576441,0.4116575591985428,0.7142857142857143,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.3003337041156841,0.04342984409799555,0.9924812030075187,0.7923497267759563,0.7142857142857143,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
101,0.5061179087875417,0.25389755011135856,0.06015037593984962,0.6885245901639343,0.9999999999999999,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
102,0.5127919911012235,0.6091314031180401,0.7518796992481203,0.3224043715846994,0.9999999999999999,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,0.8075639599555061,0.24721603563474387,0.606516290726817,0.7759562841530054,0.5714285714285714,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
104,0.2791991101223582,0.0055679287305122616,0.30325814536340845,0.5573770491803278,0.7142857142857143,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
105,0.7797552836484983,0.35746102449888645,0.3659147869674185,0.9162112932604736,0.4285714285714285,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,0.3281423804226919,0.5200445434298442,0.13533834586466165,0.4863387978142076,0.5714285714285714,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
107,0.8053392658509455,0.8140311804008908,0.593984962406015,0.012750455373406189,0.14285714285714285,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
108,0.7997775305895439,0.08240534521158127,0.8897243107769424,0.9234972677595628,0.8571428571428571,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
109,0.8320355951056729,0.003340757238307346,0.43107769423558895,0.8652094717668488,0.4285714285714285,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
110,0.37486095661846497,0.9420935412026725,0.9799498746867168,0.5391621129326047,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
111,0.9766407119021134,0.7182628062360801,0.5513784461152882,0.29690346083788705,0.2857142857142857,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112,0.05784204671857621,0.13028953229398665,0.2957393483709273,0.8816029143897997,0.14285714285714285,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
113,0.8798665183537263,0.9799554565701558,0.7719298245614035,0.12932604735883424,0.14285714285714285,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
114,0.24026696329254726,0.6737193763919822,0.45614035087719296,0.43169398907103823,0.14285714285714285,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,0.8487208008898777,0.5601336302895323,0.7192982456140351,0.18761384335154824,0.4285714285714285,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
116,0.20800889877641826,0.6380846325167038,0.7669172932330828,0.3806921675774135,0.0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
117,0.4215795328142381,0.48997772828507796,0.7493734335839599,0.8506375227686702,0.8571428571428571,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
118,0.5472747497219133,0.21492204899777284,0.20300751879699247,0.825136612021858,0.5714285714285714,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
119,0.04449388209121247,0.9420935412026725,0.5263157894736842,0.4863387978142076,0.9999999999999999,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
120,0.1735261401557286,0.7951002227171491,0.3734335839598997,0.7012750455373407,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
121,0.015572858731924377,0.4354120267260579,0.09022556390977443,0.7030965391621129,0.4285714285714285,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
122,0.903225806451613,0.027839643652561252,0.8796992481203008,0.46994535519125685,0.14285714285714285,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
123,0.07119021134593995,0.48329621380846327,0.7794486215538847,0.5136612021857923,0.2857142857142857,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,0.9521690767519466,0.19153674832962136,0.9022556390977443,0.07103825136612019,0.14285714285714285,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
125,0.932146829810901,0.33296213808463254,0.14536340852130325,0.8834244080145719,0.5714285714285714,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,0.578420467185762,0.7171492204899776,0.3258145363408521,0.39890710382513656,0.7142857142857143,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
127,0.38153503893214685,0.36191536748329617,0.5037593984962405,0.23315118397085605,0.2857142857142857,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
128,0.1423804226918799,0.45545657015590196,0.606516290726817,0.9453551912568305,0.14285714285714285,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
129,0.7196885428253615,0.13028953229398665,0.08521303258145363,0.4717668488160291,0.8571428571428571,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
130,0.5239154616240267,0.9298440979955456,0.23057644110275688,0.6648451730418943,0.2857142857142857,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
131,0.06896551724137931,0.8752783964365256,0.5162907268170426,0.9890710382513661,0.7142857142857143,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
132,0.153503893214683,0.8051224944320712,0.8822055137844611,0.9526411657559197,0.9999999999999999,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
133,0.5539488320355951,0.24944320712694878,0.9774436090225562,0.027322404371584674,0.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
134,0.6585094549499444,0.5913140311804008,0.8295739348370927,0.23315118397085605,0.4285714285714285,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
135,0.43492769744160176,0.12472160356347439,0.7619047619047619,0.19672131147540983,0.9999999999999999,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,0.7497219132369299,0.15478841870824056,0.8746867167919798,0.9690346083788706,0.14285714285714285,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
137,0.46496106785317015,0.6213808463251671,0.531328320802005,0.48816029143897993,0.5714285714285714,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,0.3203559510567297,0.0,0.39598997493734334,0.29326047358834245,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
139,0.42046718576195774,0.09910913140311806,0.05764411027568922,0.4717668488160291,0.9999999999999999,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
140,0.8587319243604005,0.7271714922048997,0.731829573934837,0.18397085610200364,0.14285714285714285,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
141,0.5439377085650723,0.3552338530066815,0.007518796992481203,0.919854280510018,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
142,0.25583982202447164,0.611358574610245,0.5488721804511278,0.44808743169398907,0.9999999999999999,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
143,0.04449388209121247,0.8953229398663696,0.9097744360902256,0.9763205828779598,0.5714285714285714,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
144,0.030033370411568422,0.9944320712694876,0.9548872180451127,0.23679417122040075,0.14285714285714285,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
145,0.14905450500556172,0.15367483296213807,0.047619047619047616,0.6411657559198543,0.7142857142857143,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
146,0.22246941045606228,0.5679287305122493,0.3784461152882206,0.3551912568306011,0.7142857142857143,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
147,0.9332591768631813,0.965478841870824,0.12280701754385964,0.6939890710382512,0.5714285714285714,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
148,0.8665183537263627,0.9398663697104677,0.44110275689223055,0.4116575591985428,0.2857142857142857,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
149,0.03559510567296997,0.287305122494432,0.23809523809523808,0.8652094717668488,0.5714285714285714,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
150,0.052280311457174655,0.7483296213808464,0.2606516290726817,0.8670309653916211,0.2857142857142857,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
151,0.5583982202447163,0.7672605790645879,0.6240601503759398,0.48087431693989063,0.14285714285714285,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
152,0.4516129032258065,0.010022271714922065,0.2907268170426065,0.6757741347905282,0.9999999999999999,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
153,0.6373748609566184,0.289532293986637,0.8847117794486214,0.8834244080145719,0.2857142857142857,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
154,0.8086763070077865,0.72271714922049,0.568922305764411,0.7887067395264116,0.14285714285714285,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
155,0.8943270300333703,0.19042316258351893,0.16290726817042606,0.3825136612021857,0.14285714285714285,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
156,0.10901001112347053,0.9988864142538973,0.8370927318295738,0.6848816029143898,0.8571428571428571,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
157,0.7597330367074527,0.013363028953229411,0.6541353383458646,0.7176684881602915,0.4285714285714285,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
158,0.9688542825361512,0.1859688195991091,0.7368421052631579,0.8178506375227685,0.14285714285714285,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
159,0.8064516129032258,0.7138084632516704,0.606516290726817,0.6612021857923498,0.2857142857142857,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
160,0.60734149054505,0.6625835189309577,0.9273182957393484,0.8306010928961747,0.4285714285714285,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
161,0.8209121245828699,0.3563474387527839,0.4636591478696741,0.40983606557377045,0.4285714285714285,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
